"","Type","Sector","Y2019","Y2020","Y2021","Y2022","Y2023","Y2024","Y2025","Y2026","Y2027","Y2028","Y2029","Y2030","Y2031","Y2032","Y2033","Y2034","Y2035","Y2036","Y2037","Y2038","Y2039","Y2040","Y2041","Y2042","Y2043","Y2044","Y2045","Y2046","Y2047","Y2048","Y2049","Y2050","AGR"
"24","Manufacturing Sector","Cement and Lime",14.5,14.32,14.41,14.75,15.06,15.32,15.59,15.82,16.04,16.28,16.53,16.77,17.02,17.27,17.53,17.82,18.06,18.28,18.5,18.71,18.86,19.12,19.42,19.65,19.93,20.26,20.6,20.93,21.24,21.56,21.86,22.17,0.01
"25","Manufacturing Sector","Other Nonmetallic Mineral Products",78.53,79.28,79.85,81.33,82.49,83.67,85.21,86.39,87.27,88.23,89.22,90.24,91.34,92.04,92.78,94.26,95.59,96.26,96.7,97.22,97.26,98.2,99.53,100.2,101.44,103.3,105.31,107.08,108.76,110.17,111.49,112.85,0.01
"26","Manufacturing Sector","Primary Metals Industry",274.13,268.1,256.27,253.41,256.74,259.64,260.62,261.1,261.4,262.12,263.14,264.25,265.43,267.51,269.73,271.91,274.01,275.96,278.26,280.34,282.16,284.15,285.96,287.79,289.76,291.4,292.97,294.18,295.15,296.29,297.29,297.72,0
"27","Manufacturing Sector","Iron and Steel Mills and Products",139.55,134.79,127.48,124.65,126.27,127.41,127.35,126.85,126.15,125.53,125,124.5,123.93,124.18,124.58,124.83,125.12,125.51,125.98,126.32,126.53,126.82,126.75,126.68,126.58,126.39,126.12,125.88,125.25,124.83,124.3,123.53,0
"28","Manufacturing Sector","Alumina and Aluminum Products",42.1,42.45,41.59,41.35,41.93,42.42,42.81,43.23,43.62,44.01,44.41,44.84,45.27,45.74,46.25,46.75,47.22,47.68,48.17,48.64,49.12,49.63,50.11,50.61,51.11,51.62,52.15,52.68,53.2,53.73,54.26,54.79,0.01
"29","Manufacturing Sector","Other Primary Metal Products",92.48,90.87,87.2,87.41,88.54,89.81,90.45,91.02,91.64,92.57,93.73,94.91,96.23,97.58,98.9,100.34,101.67,102.77,104.11,105.38,106.51,107.71,109.09,110.5,112.07,113.39,114.7,115.62,116.7,117.74,118.74,119.4,0.01
"30","Manufacturing Sector","Fabricated Metal Products",405.89,404.84,397.42,404.6,411.49,418.3,420.97,424.59,427.17,431.21,434.91,439.6,445.29,451.2,457.23,463.53,467.8,470.62,475.13,478.09,480.81,485.54,491.93,495.7,501.63,505.94,510.49,512.67,517.89,521.94,525.67,526.1,0.01
"31","Manufacturing Sector","Machinery",387.26,385.91,387.82,400.69,407.38,413.55,417.7,422.27,427.14,433.91,440.04,447.64,455.4,462.86,470.54,478.65,485.32,492.72,500.86,507.94,515.94,525.09,535.03,543.72,553.92,563.06,572.43,580.86,590.4,599.2,608.28,616.4,0.02
"32","Manufacturing Sector","Computers and Electronics",354.91,362.54,366.71,375.8,388.05,399.39,409.76,420.44,431.17,442.67,453.96,465.85,478.41,491.68,505.7,520.33,533.51,546.11,558.73,570.94,583.71,596.54,609.54,623.2,637.57,651.94,666.43,681.05,695.86,710.43,725.39,739.31,0.02
"33","Manufacturing Sector","Transportation Equipment",995.64,980.79,984.82,992.11,992.88,1001,1015.13,1032.49,1063.76,1094.24,1128.23,1159.96,1186.8,1218.1,1253.58,1292.15,1332.68,1372.19,1413.91,1453.98,1493.9,1533.69,1573.09,1610.47,1646.86,1683.89,1716.48,1748.57,1776.69,1805.81,1839.11,1880.75,0.02
"34","Manufacturing Sector","Electrical Equipment",129.9,129.89,130.14,133.43,136.79,139.62,141.94,144.23,146.13,148.51,150.66,152.92,155.4,158.23,161.48,165.23,168.99,172.7,176.58,180.26,184.02,187.93,191.81,195.83,200.25,204.58,208.77,213.04,217.37,221.31,225.44,229.31,0.02
"35","Manufacturing Sector","Miscellaneous Manufacturing",170.71,172.44,174.77,180.39,184.5,189.56,193.57,198.32,203.16,208.84,214.49,220.4,226.7,233.24,240.17,247.55,254.81,262.13,270.33,278.4,286.92,296.29,306.15,315.78,326.46,337.12,348.28,359.64,372.06,384.73,398.25,411.97,0.03
